test,item,initial_1,final_1,,tone_1,word_tonal,initial_2,final_2,,tone_2,word_affricate,initial_3,final_3,_,tone_3,word_none
1,1,zh,ang,_,2,zhang_2,zh,ang,_,2,zhang_2,zh,ou,_,2,zhou_2
1,2,zh,ang,_,4,zhang_4,ji,ang,_,2,jiang_2,ch,ang,_,4,chang_4
1,3,ch,ang,_,2,chang_2,ch,ang,_,4,chang_4,ji,ong,_,2,jiong_2
1,4,ch,ang,_,4,chang_4,qi,ang,_,4,qiang_4,qi,a,_,4,qia_4
1,5,ji,ou,_,2,jiu_2,zh,ou,_,2,zhou_2,zh,en,_,2,zhen_2
1,6,ji,ou,_,4,jiu_4,ji,ou,_,2,jiu_2,ch,u,_,4,chu_4
1,7,qi,ou,_,2,qiu_2,ch,ou,_,4,chou_4,ji,e,_,2,jie_2
1,8,qi,ou,_,4,qiu_4,qi,ou,_,4,qiu_4,qi,an,_,4,qian_4
,,,,,,,,,,,,,,_,,
2,1,zh,ong,_,2,zhong_2,zh,ong,_,2,zhong_2,zh,ong,_,2,zhong_2
2,2,ji,ong,_,2,jiong_2,ji,ong,_,2,jiong_2,ji,ong,_,2,jiong_2
2,3,zh,ong,_,4,zhong_4,zh,ong,_,4,zhong_4,zh,ong,_,4,zhong_4
2,4,ji,ong,_,4,jiong_4,ji,ong,_,4,jiong_4,ji,ong,_,4,jiong_4
2,5,ch,a,_,2,cha_2,ch,a,_,2,cha_2,ch,a,_,2,cha_2
2,6,qi,a,_,2,qia_2,qi,a,_,2,qia_2,qi,a,_,2,qia_2
2,7,ch,a,_,4,cha_4,ch,a,_,4,cha_4,ch,a,_,4,cha_4
2,8,qi,a,_,4,qia_4,qi,a,_,4,qia_4,qi,a,_,4,qia_4
,,,,,,,,,,,,,,_,,
,,#REF!,#REF!,,2,zhang_2,#REF!,#REF!,,2,zhang_2,#REF!,ou,_,2,zhou_2
,,,,,4,zhang_4,,,,4,jiang_2,,ang,_,4,chang_4
,,,,,,chang_2,,,,,chang_4,,ong,_,,jiong_2
,,,,,,chang_4,,,,,qiang_4,,a,_,,qia_4
,,0,0,,8,jiou_2,0,0,,8,zhou_2,0,en,_,8,zhen_2
,,0,0,,8,jiou_4,0,0,,8,jiou_2,0,u,,8,chu_4
