"word_1","word_2","contrast_word_1","contrast_word_2","match","type","speaker","speaker_1_word_1","speaker_1_word_2","speaker_2_word_1","speaker_2_word_2","sound1","sound2"
"jiao_2","jiao_2","aveolar","aveolar",1,"affricates",1,"FV1_jiao_2_.mp3","FV2_jiao_2_.mp3","FV1_jiao_2_.mp3","FV2_jiao_2_.mp3","FV1_jiao_2_.mp3","FV2_jiao_2_.mp3"
"qiao_2","qiao_2","aveolar","aveolar",1,"affricates",1,"FV1_qiao_2_.mp3","FV2_qiao_2_.mp3","FV1_qiao_2_.mp3","FV2_qiao_2_.mp3","FV1_qiao_2_.mp3","FV2_qiao_2_.mp3"
"zhao_2","jiao_2","retroflexive","aveolar",0,"affricates",1,"FV1_zhao_2_.mp3","FV2_jiao_2_.mp3","FV1_zhao_2_.mp3","FV2_jiao_2_.mp3","FV1_zhao_2_.mp3","FV2_jiao_2_.mp3"
"chao_2","qiao_2","retroflexive","aveolar",0,"affricates",1,"FV1_chao_2_.mp3","FV2_qiao_2_.mp3","FV1_chao_2_.mp3","FV2_qiao_2_.mp3","FV1_chao_2_.mp3","FV2_qiao_2_.mp3"
"jiao_2","zhao_2","aveolar","retroflexive",0,"affricates",1,"FV1_jiao_2_.mp3","FV2_zhao_2_.mp3","FV1_jiao_2_.mp3","FV2_zhao_2_.mp3","FV1_jiao_2_.mp3","FV2_zhao_2_.mp3"
"qiao_2","chao_2","aveolar","retroflexive",0,"affricates",1,"FV1_qiao_2_.mp3","FV2_chao_2_.mp3","FV1_qiao_2_.mp3","FV2_chao_2_.mp3","FV1_qiao_2_.mp3","FV2_chao_2_.mp3"
"zhao_2","zhao_2","retroflexive","retroflexive",1,"affricates",1,"FV1_zhao_2_.mp3","FV2_zhao_2_.mp3","FV1_zhao_2_.mp3","FV2_zhao_2_.mp3","FV1_zhao_2_.mp3","FV2_zhao_2_.mp3"
"chao_2","chao_2","retroflexive","retroflexive",1,"affricates",1,"FV1_chao_2_.mp3","FV2_chao_2_.mp3","FV1_chao_2_.mp3","FV2_chao_2_.mp3","FV1_chao_2_.mp3","FV2_chao_2_.mp3"
"jiao_4","jiao_4","aveolar","aveolar",1,"affricates",1,"FV1_jiao_4_.mp3","FV2_jiao_4_.mp3","FV1_jiao_4_.mp3","FV2_jiao_4_.mp3","FV1_jiao_4_.mp3","FV2_jiao_4_.mp3"
"qiao_4","qiao_4","aveolar","aveolar",1,"affricates",1,"FV1_qiao_4_.mp3","FV2_qiao_4_.mp3","FV1_qiao_4_.mp3","FV2_qiao_4_.mp3","FV1_qiao_4_.mp3","FV2_qiao_4_.mp3"
