"randomise_trials","display","word_1","word_2","contrast_word_1","contrast_word_2","match","type","speaker","sound1","sound2"
1,"Instructions2",NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Block","qiao_2","qiao_2","aveolar","aveolar",1,"affricates",1,"FV1_qiao_2_.mp3","FV2_qiao_2_.mp3"
2,"Block","chao_2","qiao_2","retroflexive","aveolar",0,"affricates",1,"FV1_chao_2_.mp3","FV2_qiao_2_.mp3"
2,"Block","qiao_2","chao_2","aveolar","retroflexive",0,"affricates",1,"FV1_qiao_2_.mp3","FV2_chao_2_.mp3"
2,"Block","chao_2","chao_2","retroflexive","retroflexive",1,"affricates",1,"FV1_chao_2_.mp3","FV2_chao_2_.mp3"
2,"Block","qiao_4","qiao_4","aveolar","aveolar",1,"affricates",1,"FV1_qiao_4_.mp3","FV2_qiao_4_.mp3"
2,"Block","chao_4","qiao_4","retroflexive","aveolar",0,"affricates",1,"FV1_chao_4_.mp3","FV2_qiao_4_.mp3"
2,"Block","qiao_4","chao_4","aveolar","retroflexive",0,"affricates",1,"FV1_qiao_4_.mp3","FV2_chao_4_.mp3"
2,"Block","chao_4","chao_4","retroflexive","retroflexive",1,"affricates",1,"FV1_chao_4_.mp3","FV2_chao_4_.mp3"
2,"Block","bu_2","bu_2","2","2",1,"tone",1,"FV1_bu_2_.mp3","FV2_bu_2_.mp3"
2,"Block","lu_2","lu_2","2","2",1,"tone",1,"FV1_lu_2_.mp3","FV2_lu_2_.mp3"
2,"Block","bu_4","bu_2","4","2",0,"tone",1,"FV1_bu_4_.mp3","FV2_bu_2_.mp3"
2,"Block","lu_4","lu_2","4","2",0,"tone",1,"FV1_lu_4_.mp3","FV2_lu_2_.mp3"
2,"Block","bu_2","bu_4","2","4",0,"tone",1,"FV1_bu_2_.mp3","FV2_bu_4_.mp3"
2,"Block","lu_2","lu_4","2","4",0,"tone",1,"FV1_lu_2_.mp3","FV2_lu_4_.mp3"
2,"Block","bu_4","bu_4","4","4",1,"tone",1,"FV1_bu_4_.mp3","FV2_bu_4_.mp3"
2,"Block","lu_4","lu_4","4","4",1,"tone",1,"FV1_lu_4_.mp3","FV2_lu_4_.mp3"
2,"Block","miao_1","tiao_1",NA,NA,0,"filler",1,"FV1_miao_1_.mp3","FV2_tiao_1_.mp3"
2,"Block","tiao_1","tiao_1",NA,NA,1,"filler",1,"FV1_tiao_1_.mp3","FV2_tiao_1_.mp3"
2,"Block","mang_1","tang_1",NA,NA,0,"filler",1,"FV1_mang_1_.mp3","FV2_tang_1_.mp3"
2,"Block","tang_1","tang_1",NA,NA,1,"filler",1,"FV1_tang_1_.mp3","FV2_tang_1_.mp3"
2,"Block","gei_3","hei_3",NA,NA,0,"filler",1,"FV1_gei_3_.mp3","FV2_hei_3_.mp3"
2,"Block","hei_3","hei_3",NA,NA,1,"filler",1,"FV1_hei_3_.mp3","FV2_hei_3_.mp3"
2,"Block","gai_3","hai_3",NA,NA,0,"filler",1,"FV1_gai_3_.mp3","FV2_hai_3_.mp3"
2,"Block","qiao_2","qiao_2","aveolar","aveolar",1,"affricates",0,"FV1_qiao_2_.mp3","FV2_qiao_2_.mp3"
2,"Block","chao_2","qiao_2","retroflexive","aveolar",0,"affricates",0,"FV1_chao_2_.mp3","FV2_qiao_2_.mp3"
2,"Block","qiao_2","chao_2","aveolar","retroflexive",0,"affricates",0,"FV1_qiao_2_.mp3","FV2_chao_2_.mp3"
2,"Block","chao_2","chao_2","retroflexive","retroflexive",1,"affricates",0,"FV1_chao_2_.mp3","FV2_chao_2_.mp3"
2,"Block","qiao_4","qiao_4","aveolar","aveolar",1,"affricates",0,"FV1_qiao_4_.mp3","FV2_qiao_4_.mp3"
2,"Block","chao_4","qiao_4","retroflexive","aveolar",0,"affricates",0,"FV1_chao_4_.mp3","FV2_qiao_4_.mp3"
2,"Block","qiao_4","chao_4","aveolar","retroflexive",0,"affricates",0,"FV1_qiao_4_.mp3","FV2_chao_4_.mp3"
2,"Block","chao_4","chao_4","retroflexive","retroflexive",1,"affricates",0,"FV1_chao_4_.mp3","FV2_chao_4_.mp3"
2,"Block","bu_2","bu_2","2","2",1,"tone",0,"FV1_bu_2_.mp3","FV2_bu_2_.mp3"
2,"Block","lu_2","lu_2","2","2",1,"tone",0,"FV1_lu_2_.mp3","FV2_lu_2_.mp3"
2,"Block","bu_4","bu_2","4","2",0,"tone",0,"FV1_bu_4_.mp3","FV2_bu_2_.mp3"
2,"Block","lu_4","lu_2","4","2",0,"tone",0,"FV1_lu_4_.mp3","FV2_lu_2_.mp3"
2,"Block","bu_2","bu_4","2","4",0,"tone",0,"FV1_bu_2_.mp3","FV2_bu_4_.mp3"
2,"Block","lu_2","lu_4","2","4",0,"tone",0,"FV1_lu_2_.mp3","FV2_lu_4_.mp3"
2,"Block","bu_4","bu_4","4","4",1,"tone",0,"FV1_bu_4_.mp3","FV2_bu_4_.mp3"
2,"Block","lu_4","lu_4","4","4",1,"tone",0,"FV1_lu_4_.mp3","FV2_lu_4_.mp3"
2,"Block","miao_1","miao_1",NA,NA,1,"filler",0,"FV1_miao_1_.mp3","FV2_miao_1_.mp3"
2,"Block","miao_1","tiao_1",NA,NA,0,"filler",0,"FV1_miao_1_.mp3","FV2_tiao_1_.mp3"
2,"Block","mang_1","mang_1",NA,NA,1,"filler",0,"FV1_mang_1_.mp3","FV2_mang_1_.mp3"
2,"Block","mang_1","tang_1",NA,NA,0,"filler",0,"FV1_mang_1_.mp3","FV2_tang_1_.mp3"
2,"Block","gei_3","gei_3",NA,NA,1,"filler",0,"FV1_gei_3_.mp3","FV2_gei_3_.mp3"
2,"Block","gei_3","hei_3",NA,NA,0,"filler",0,"FV1_gei_3_.mp3","FV2_hei_3_.mp3"
2,"Block","gai_3","gai_3",NA,NA,1,"filler",0,"FV1_gai_3_.mp3","FV2_gai_3_.mp3"
2,"Block","gai_3","hai_3",NA,NA,0,"filler",0,"FV1_gai_3_.mp3","FV2_hai_3_.mp3"
